from_utc,to_utc,forecast_gco2_per_kwh,actual_gco2_per_kwh,index_label
2025-08-27 12:00:00+00:00,2025-08-27 12:30:00+00:00,70,70,low
2025-08-27 12:30:00+00:00,2025-08-27 13:00:00+00:00,73,69,low
2025-08-27 13:00:00+00:00,2025-08-27 13:30:00+00:00,65,62,low
2025-08-27 13:30:00+00:00,2025-08-27 14:00:00+00:00,58,57,low
2025-08-27 14:00:00+00:00,2025-08-27 14:30:00+00:00,57,63,low
2025-08-27 14:30:00+00:00,2025-08-27 15:00:00+00:00,54,74,low
2025-08-27 15:00:00+00:00,2025-08-27 15:30:00+00:00,71,84,low
2025-08-27 15:30:00+00:00,2025-08-27 16:00:00+00:00,87,106,moderate
2025-08-27 16:00:00+00:00,2025-08-27 16:30:00+00:00,95,117,moderate
2025-08-27 16:30:00+00:00,2025-08-27 17:00:00+00:00,109,130,moderate
2025-08-27 17:00:00+00:00,2025-08-27 17:30:00+00:00,123,141,moderate
2025-08-27 17:30:00+00:00,2025-08-27 18:00:00+00:00,136,147,moderate
2025-08-27 18:00:00+00:00,2025-08-27 18:30:00+00:00,143,158,moderate
2025-08-27 18:30:00+00:00,2025-08-27 19:00:00+00:00,147,166,moderate
2025-08-27 19:00:00+00:00,2025-08-27 19:30:00+00:00,159,166,moderate
2025-08-27 19:30:00+00:00,2025-08-27 20:00:00+00:00,163,162,moderate
2025-08-27 20:00:00+00:00,2025-08-27 20:30:00+00:00,161,157,moderate
2025-08-27 20:30:00+00:00,2025-08-27 21:00:00+00:00,157,150,moderate
2025-08-27 21:00:00+00:00,2025-08-27 21:30:00+00:00,147,139,moderate
2025-08-27 21:30:00+00:00,2025-08-27 22:00:00+00:00,143,123,moderate
2025-08-27 22:00:00+00:00,2025-08-27 22:30:00+00:00,135,125,moderate
2025-08-27 22:30:00+00:00,2025-08-27 23:00:00+00:00,121,124,moderate
2025-08-27 23:00:00+00:00,2025-08-27 23:30:00+00:00,122,124,moderate
2025-08-27 23:30:00+00:00,2025-08-28 00:00:00+00:00,129,128,moderate
2025-08-28 00:00:00+00:00,2025-08-28 00:30:00+00:00,131,133,moderate
2025-08-28 00:30:00+00:00,2025-08-28 01:00:00+00:00,137,135,moderate
2025-08-28 01:00:00+00:00,2025-08-28 01:30:00+00:00,139,135,moderate
2025-08-28 01:30:00+00:00,2025-08-28 02:00:00+00:00,144,139,moderate
2025-08-28 02:00:00+00:00,2025-08-28 02:30:00+00:00,141,139,moderate
2025-08-28 02:30:00+00:00,2025-08-28 03:00:00+00:00,142,143,moderate
2025-08-28 03:00:00+00:00,2025-08-28 03:30:00+00:00,142,142,moderate
2025-08-28 03:30:00+00:00,2025-08-28 04:00:00+00:00,145,146,moderate
2025-08-28 04:00:00+00:00,2025-08-28 04:30:00+00:00,148,148,moderate
2025-08-28 04:30:00+00:00,2025-08-28 05:00:00+00:00,155,156,moderate
2025-08-28 05:00:00+00:00,2025-08-28 05:30:00+00:00,90,160,moderate
2025-08-28 05:30:00+00:00,2025-08-28 06:00:00+00:00,165,164,moderate
2025-08-28 06:00:00+00:00,2025-08-28 06:30:00+00:00,162,165,moderate
2025-08-28 06:30:00+00:00,2025-08-28 07:00:00+00:00,168,156,moderate
2025-08-28 07:00:00+00:00,2025-08-28 07:30:00+00:00,158,149,moderate
2025-08-28 07:30:00+00:00,2025-08-28 08:00:00+00:00,151,137,moderate
2025-08-28 08:00:00+00:00,2025-08-28 08:30:00+00:00,139,122,moderate
2025-08-28 08:30:00+00:00,2025-08-28 09:00:00+00:00,122,113,moderate
2025-08-28 09:00:00+00:00,2025-08-28 09:30:00+00:00,109,104,moderate
2025-08-28 09:30:00+00:00,2025-08-28 10:00:00+00:00,112,91,low
2025-08-28 10:00:00+00:00,2025-08-28 10:30:00+00:00,95,85,low
2025-08-28 10:30:00+00:00,2025-08-28 11:00:00+00:00,92,88,low
2025-08-28 11:00:00+00:00,2025-08-28 11:30:00+00:00,82,87,low
2025-08-28 11:30:00+00:00,2025-08-28 12:00:00+00:00,85,80,low
2025-08-28 12:00:00+00:00,2025-08-28 12:30:00+00:00,87,80,low
2025-08-28 12:30:00+00:00,2025-08-28 13:00:00+00:00,78,91,low
2025-08-28 13:00:00+00:00,2025-08-28 13:30:00+00:00,77,93,low
2025-08-28 13:30:00+00:00,2025-08-28 14:00:00+00:00,73,97,low
2025-08-28 14:00:00+00:00,2025-08-28 14:30:00+00:00,72,98,low
2025-08-28 14:30:00+00:00,2025-08-28 15:00:00+00:00,70,105,moderate
2025-08-28 15:00:00+00:00,2025-08-28 15:30:00+00:00,75,107,moderate
2025-08-28 15:30:00+00:00,2025-08-28 16:00:00+00:00,116,105,moderate
2025-08-28 16:00:00+00:00,2025-08-28 16:30:00+00:00,115,109,moderate
2025-08-28 16:30:00+00:00,2025-08-28 17:00:00+00:00,114,113,moderate
2025-08-28 17:00:00+00:00,2025-08-28 17:30:00+00:00,114,119,moderate
2025-08-28 17:30:00+00:00,2025-08-28 18:00:00+00:00,117,117,moderate
2025-08-28 18:00:00+00:00,2025-08-28 18:30:00+00:00,121,121,moderate
2025-08-28 18:30:00+00:00,2025-08-28 19:00:00+00:00,118,123,moderate
2025-08-28 19:00:00+00:00,2025-08-28 19:30:00+00:00,124,123,moderate
2025-08-28 19:30:00+00:00,2025-08-28 20:00:00+00:00,123,119,moderate
2025-08-28 20:00:00+00:00,2025-08-28 20:30:00+00:00,116,111,moderate
2025-08-28 20:30:00+00:00,2025-08-28 21:00:00+00:00,119,111,moderate
2025-08-28 21:00:00+00:00,2025-08-28 21:30:00+00:00,108,104,moderate
2025-08-28 21:30:00+00:00,2025-08-28 22:00:00+00:00,105,82,low
2025-08-28 22:00:00+00:00,2025-08-28 22:30:00+00:00,96,74,low
2025-08-28 22:30:00+00:00,2025-08-28 23:00:00+00:00,81,73,low
2025-08-28 23:00:00+00:00,2025-08-28 23:30:00+00:00,81,73,low
2025-08-28 23:30:00+00:00,2025-08-29 00:00:00+00:00,85,72,low
2025-08-29 00:00:00+00:00,2025-08-29 00:30:00+00:00,74,71,low
2025-08-29 00:30:00+00:00,2025-08-29 01:00:00+00:00,77,77,low
2025-08-29 01:00:00+00:00,2025-08-29 01:30:00+00:00,76,78,low
2025-08-29 01:30:00+00:00,2025-08-29 02:00:00+00:00,83,78,low
2025-08-29 02:00:00+00:00,2025-08-29 02:30:00+00:00,80,78,low
